X,R
1.00E-02,-2.73E-01
2.00E-02,-1.17E-01
3.00E-02,-3.09E-01
4.00E-02,3.06E-02
5.00E-02,-8.02E-02
6.00E-02,2.43E-01
7.00E-02,6.38E-03
8.00E-02,2.84E-01
9.00E-02,-9.04E-02
1.10E-01,2.95E-02
1.20E-01,3.71E-01
1.30E-01,4.99E-01
1.40E-01,1.67E-01
1.50E-01,6.21E-01
1.60E-01,3.04E-01
1.70E-01,3.73E-01
1.80E-01,3.10E-01
1.90E-01,2.76E-01
2.10E-01,5.40E-01
2.20E-01,4.03E-01
2.30E-01,-7.48E-02
2.40E-01,9.13E-01
2.50E-01,3.09E-01
2.60E-01,9.03E-01
2.70E-01,7.39E-01
2.80E-01,1.82E-02
2.90E-01,5.70E-01
3.10E-01,7.63E-01
3.20E-01,7.40E-01
3.30E-01,7.53E-01
3.40E-01,7.12E-01
3.50E-01,7.51E-01
3.60E-01,1.02E+00
3.70E-01,8.03E-01
3.80E-01,6.79E-01
3.90E-01,7.31E-01
4.10E-01,7.49E-01
4.20E-01,6.12E-01
4.30E-01,5.75E-01
4.40E-01,8.56E-01
4.50E-01,1.00E+00
4.60E-01,1.08E+00
4.70E-01,1.01E+00
4.80E-01,6.98E-01
4.90E-01,1.02E+00
5.10E-01,8.51E-01
5.20E-01,6.16E-01
5.30E-01,1.16E+00
5.40E-01,9.95E-01
5.50E-01,1.10E+00
5.60E-01,8.96E-01
5.70E-01,9.91E-01
5.80E-01,7.21E-01
5.90E-01,6.83E-01
6.10E-01,1.32E+00
6.20E-01,1.04E+00
6.30E-01,9.05E-01
6.40E-01,8.73E-01
6.50E-01,7.66E-01
6.60E-01,1.24E+00
6.70E-01,1.18E+00
6.80E-01,1.08E+00
6.90E-01,1.08E+00
7.10E-01,1.22E+00
7.20E-01,1.29E+00
7.30E-01,7.99E-01
7.40E-01,8.72E-01
7.50E-01,1.24E+00
7.60E-01,1.22E+00
7.70E-01,1.22E+00
7.80E-01,1.03E+00
7.90E-01,1.05E+00
8.10E-01,9.85E-01
8.20E-01,1.26E+00
8.30E-01,1.05E+00
8.40E-01,1.03E+00
8.50E-01,1.06E+00
8.60E-01,6.41E-01
8.70E-01,1.38E+00
8.80E-01,8.56E-01
8.90E-01,1.38E+00
9.10E-01,1.07E+00
9.20E-01,8.39E-01
9.30E-01,1.25E+00
9.40E-01,9.44E-01
9.50E-01,9.17E-01
9.60E-01,1.02E+00
9.70E-01,1.12E+00
9.80E-01,6.81E-01
9.90E-01,6.06E-01
1.01E+00,9.14E-01
1.02E+00,4.95E-01
1.03E+00,1.02E+00
1.04E+00,7.01E-01
1.05E+00,9.06E-01
1.06E+00,1.03E+00
1.07E+00,9.71E-01
1.08E+00,6.39E-01
1.09E+00,7.50E-01
1.11E+00,9.76E-01
1.12E+00,8.33E-01
1.13E+00,1.01E+00
1.14E+00,8.71E-01
1.15E+00,7.75E-01
1.16E+00,5.10E-01
1.17E+00,6.96E-01
1.18E+00,7.72E-01
1.19E+00,8.16E-01
1.21E+00,5.51E-01
1.22E+00,7.77E-01
1.23E+00,7.97E-01
1.24E+00,5.30E-01
1.25E+00,3.61E-01
1.26E+00,4.87E-01
1.27E+00,5.05E-01
1.28E+00,5.71E-01
1.29E+00,-2.31E-01
1.31E+00,3.32E-02
1.32E+00,1.93E-01
1.33E+00,3.37E-02
1.34E+00,1.70E-01
1.35E+00,4.29E-02
1.36E+00,3.70E-01
1.37E+00,5.57E-01
1.38E+00,7.04E-02
1.39E+00,9.26E-02
1.41E+00,3.26E-01
1.42E+00,-7.21E-02
1.43E+00,1.27E-01
1.44E+00,-4.89E-02
1.45E+00,2.70E-02
1.46E+00,1.45E-01
1.47E+00,1.99E-01
1.48E+00,-2.28E-01
1.49E+00,-1.96E-01
1.51E+00,-1.73E-01
1.52E+00,7.10E-02
1.53E+00,-1.83E-01
1.54E+00,-2.58E-01
1.55E+00,-5.83E-01
1.56E+00,-2.04E-01
1.57E+00,-5.82E-02
1.58E+00,1.02E-02
1.59E+00,-4.51E-02
1.61E+00,-3.89E-01
1.62E+00,1.68E-02
1.63E+00,-7.93E-01
1.64E+00,-4.84E-02
1.65E+00,-2.82E-01
1.66E+00,-5.24E-01
1.67E+00,-2.42E-01
1.68E+00,-5.30E-01
1.69E+00,-1.51E-01
1.71E+00,-8.64E-02
1.72E+00,-4.75E-01
1.73E+00,-6.38E-01
1.74E+00,-6.54E-01
1.75E+00,-7.10E-01
1.76E+00,-6.47E-01
1.77E+00,-9.78E-01
1.78E+00,-4.72E-01
1.79E+00,-4.51E-01
1.81E+00,-7.75E-01
1.82E+00,-6.17E-01
1.83E+00,-7.58E-01
1.84E+00,-7.17E-01
1.85E+00,-5.54E-01
1.86E+00,-5.62E-01
1.87E+00,-9.59E-01
1.88E+00,-5.24E-01
1.89E+00,-8.53E-01
1.91E+00,-1.28E+00
1.92E+00,-1.05E+00
1.93E+00,-7.79E-01
1.94E+00,-9.38E-01
1.95E+00,-1.18E+00
1.96E+00,-6.19E-01
1.97E+00,-5.07E-01
1.98E+00,-8.77E-01
1.99E+00,-7.82E-01
2.01E+00,-9.77E-01
2.02E+00,-1.03E+00
2.03E+00,-7.72E-01
2.04E+00,-9.25E-01
2.05E+00,-9.94E-01
2.06E+00,-9.98E-01
2.07E+00,-9.04E-01
2.08E+00,-7.19E-01
2.09E+00,-8.50E-01
2.11E+00,-7.22E-01
2.12E+00,-9.20E-01
2.13E+00,-1.06E+00
2.14E+00,-1.11E+00
2.15E+00,-8.86E-01
2.16E+00,-7.94E-01
2.17E+00,-9.02E-01
2.18E+00,-8.77E-01
2.19E+00,-1.15E+00
2.21E+00,-1.45E+00
2.22E+00,-6.67E-01
2.23E+00,-1.20E+00
2.24E+00,-9.31E-01
2.25E+00,-7.55E-01
2.26E+00,-9.86E-01
2.27E+00,-1.31E+00
2.28E+00,-1.36E+00
2.29E+00,-7.39E-01
2.31E+00,-9.34E-01
2.32E+00,-8.03E-01
2.33E+00,-7.23E-01
2.34E+00,-9.16E-01
2.35E+00,-8.76E-01
2.36E+00,-9.63E-01
2.37E+00,-9.35E-01
2.38E+00,-1.05E+00
2.39E+00,-1.06E+00
2.41E+00,-1.03E+00
2.42E+00,-9.18E-01
2.43E+00,-8.18E-01
2.44E+00,-9.18E-01
2.45E+00,-7.36E-01
2.46E+00,-9.55E-01
2.47E+00,-6.42E-01
2.48E+00,-1.09E+00
2.49E+00,-8.53E-01
2.51E+00,-1.02E+00
2.52E+00,-1.04E+00
2.53E+00,-7.40E-01
2.54E+00,-8.86E-01
2.55E+00,-9.66E-01
2.56E+00,-7.78E-01
2.57E+00,-7.93E-01
2.58E+00,-8.49E-01
2.59E+00,-1.00E+00
2.61E+00,-6.98E-01
2.62E+00,-5.87E-01
2.63E+00,-4.33E-01
2.64E+00,-9.33E-01
2.65E+00,-6.16E-01
2.66E+00,-8.98E-01
2.67E+00,-6.95E-01
2.68E+00,-6.00E-01
2.69E+00,-8.85E-01
2.71E+00,-5.24E-01
2.72E+00,-5.36E-01
2.73E+00,-3.54E-01
2.74E+00,-8.91E-01
2.75E+00,-3.87E-01
2.76E+00,-3.86E-01
2.77E+00,-1.72E-01
2.78E+00,-4.53E-01
2.79E+00,-3.90E-01
2.81E+00,-5.74E-01
2.82E+00,-2.75E-01
2.83E+00,-6.43E-01
2.84E+00,-5.02E-01
2.85E+00,-2.95E-01
2.86E+00,-1.63E-01
2.87E+00,-1.27E-01
2.88E+00,-2.06E-01
2.89E+00,1.58E-01
2.91E+00,-3.45E-01
2.92E+00,1.01E-01
2.93E+00,-3.63E-02
2.94E+00,2.60E-01
2.95E+00,1.81E-02
2.96E+00,-7.43E-02
2.97E+00,2.49E-02
2.98E+00,3.77E-01
2.99E+00,-1.38E-02
3.01E+00,-3.45E-01
3.02E+00,-1.59E-01
3.03E+00,-2.10E-01
3.04E+00,-6.79E-02
3.05E+00,2.85E-02
3.06E+00,-1.38E-02
3.07E+00,-1.84E-01
3.08E+00,9.40E-02
3.09E+00,3.56E-01
3.11E+00,6.49E-03
3.12E+00,2.76E-01
3.13E+00,2.10E-01
3.14E+00,3.22E-01
